Date (EEST),Temperature [°C],Humidity [%],PM2.5 [µg/m³],Density
2025-02-16 0:00:04,22.8,57.9,19.18,Moderate
2025-02-16 0:30:08,22.6,58.5,28.32,Moderate
2025-02-16 1:00:11,21.9,60.6,26.88,Moderate
2025-02-16 1:30:10,21.8,60.7,32.36,Moderate
2025-02-16 2:30:20,21.8,58.6,31.04,Moderate
2025-02-16 3:00:02,21.7,59.2,28.88,Moderate
2025-02-16 4:00:10,21.6,59.4,19.98,Moderate
2025-02-16 4:30:15,21.6,59.8,30.64,Moderate
2025-02-16 5:00:17,21.5,60.5,31.38,Moderate
2025-02-16 5:30:02,21.4,60.6,25.08,Moderate
2025-02-16 6:00:08,21.5,60,20.86,Moderate
2025-02-16 7:30:05,21.3,60.7,22.04,Moderate
2025-02-16 8:00:12,22.3,56.4,24.56,Moderate
2025-02-16 9:00:20,21.6,59.7,21.88,Moderate
2025-02-16 9:30:01,21.7,57.8,20.72,Moderate
2025-02-16 10:00:00,21.6,57.7,27.24,Moderate
2025-02-16 10:30:01,21.6,60,32.64,Moderate
2025-02-16 11:00:00,21.4,55.7,23.56,Moderate
2025-02-16 11:30:00,21.3,58.6,20.98,Moderate
2025-02-16 12:00:00,21.2,58.1,26.88,Moderate
2025-02-16 13:00:10,21.1,57.2,27.96,Moderate
2025-02-16 13:30:15,21.1,56.7,22.94,Moderate
2025-02-16 14:00:00,21.1,56.3,19.92,Moderate
2025-02-16 14:30:04,21.2,56,18.96,Moderate
2025-02-16 15:30:14,21.1,55.4,24.46,Moderate
2025-02-16 16:00:15,21.2,55.1,27.24,Moderate
2025-02-16 16:30:18,21.2,55,22.24,Moderate
2025-02-16 17:30:08,21.2,54.4,21.16,Moderate
2025-02-16 18:00:09,21.3,54,28.24,Moderate
2025-02-16 18:30:14,21.3,53.6,21.64,Moderate
2025-02-16 19:00:16,21.4,53.3,18.14,Moderate
2025-02-16 19:30:19,21.4,53.3,23.38,Moderate
2025-02-16 20:30:08,21.5,52.9,16.44,Moderate
